id,anchor,target,context,score
267bf845c68b24c3,gutter hanger,support section,E04,0.0
45fc0700ca06bf5f,gutter hanger,supporting leg structure,E04,0.5
808a43faf2c61c86,gutter hanger,vertical framing member,E04,0.5
5b6467f8a490687d,gutter hanger,vertical line,E04,0.0
32ad0f0aea692abd,gutter hanger,water diverters,E04,0.25
e816ac23be0de195,gutters,applications,A46,0.25
88b9fb126b98c5ec,gutters,area,A46,0.25
a6552a930e12487a,gutters,brushes,A46,0.25
3d9e12d1b101e124,gutters,containers,A46,0.25
53884be2dbd3fcfd,gutters,gutter,A46,1.0
70a5dce84a4b2d91,gutters,roof,A46,0.25
5d2ce14ad7641e6d,gutters,cover gutters,B27,0.75
c8a8854a808c86e9,gutters,remove from gutters,B27,0.25
63771f92a851326b,gutters,clean gutters,B28,0.5
cabd51cbb14607eb,gutters,collecting,B60,0.25
26569d496db395e5,gutters,data display device in vehicle,B60,0.25
1d8b510c7f667a57,gutters,depth,B60,0.25
207108083ac073c1,gutters,drip rails,B60,0.75
bcfd3c2b88528e02,gutters,eaves shoot,B60,0.75
601326ca35078cd0,gutters,glitch,B60,0.0
b96403d4b33dc1e0,gutters,gutted,B60,0.0
404ba5263fb947b9,gutters,gutters,B60,1.0
1d057096a60b420e,gutters,hollow,B60,0.25
a43a4ef5ad52b3fa,gutters,pneumatic height adjuster,B60,0.25
abec7ebe4c0d9d62,gutters,rail ticket booking,B60,0.0
715b91564fd2f838,gutters,rain forecast,B60,0.0
a3fd0a95407660c0,gutters,rain forest,B60,0.0
b1266367f8465410,gutters,rain gutters,B60,0.75
d9e52d080b8ce2ff,gutters,rainwater channel,B60,0.5
d35b66535e8549b6,gutters,roof drain,B60,0.5
84486832166e0f8f,gutters,surface water collection channel,B60,0.5
030dca4a066d6965,gutters,trailer hitch assembly,B60,0.25
d18ad4b1e7e98a5a,gutters,trench coat,B60,0.0
0c914d9ad8aff594,gutters,trough,B60,0.75
a7b6e4ac2bf4baf8,gutters,water collection channel,B60,0.5
99be443ba6223810,gutters,cover gutters,B63,0.75
7ce975228b7c94d9,gutters,gutter,B66,1.0
3ff6d2a9e9a25689,gutters,gutter gutters,B66,0.75
d0da8a57b3abd107,gutters,openings,B66,0.25
1108fc565b0fa7e7,gutters,outlets,B66,0.25
8d0c3151265dec0c,gutters,clean gutters,E01,0.5
37b2625dda1527c0,gutters,rain gutters,E03,0.5
54e4ac49031b753d,gutters,body parts,G02,0.0
35c1f582e5502f80,gutters,clean water sump,G02,0.25
f0f69664f039d126,gutters,clean water tank,G02,0.25
d97f1d977a682489,gutters,electro optic medium,G02,0.5
afd1378847fa9afb,gutters,gaps,G02,0.75
688e08ebf9f2a9f1,gutters,gutter,G02,1.0
126136cc214b1679,gutters,gutter crutches,G02,0.0
0bcef53c89d28426,gutters,gutter frame,G02,0.0
c818d49b6ea87fd2,gutters,gutters bootstrap 4,G02,0.0
c76a423f96c5522e,gutters,led,G02,0.25
bf4cfe20b9f6c470,gutters,location frame,G02,0.25
4f1e0858e90bc7ff,gutters,optics body,G02,0.25
11d834a599e39cf7,gutters,place value,G02,0.0
0f5bc9a1f610165a,gutters,potable water inlet,G02,0.25
c1fe4516703ca120,gutters,railway gaps track,G02,0.0
66e73e22f7f6310c,gutters,rainwater sewer,G02,0.5
2496386a56efe9a2,gutters,remove from gutters,G02,0.5
57fa406629f0c6c3,gutters,separation place,G02,0.75
7f0a22c4c1591bda,gutters,sewage channel,G02,0.5
acfd70e16c8aefc3,gutters,transparent gutter,G02,0.5
6a2dda4b42cbf02d,gutters,waste water conduit,G02,0.5
992c46c4bd283b90,halocarbyl,bivalent radical,C07,0.25
28147689d57c610a,halocarbyl,bromine substituted bivalent radical,C07,0.5
05d96064c2c82b11,halocarbyl,bromo ethane,C07,0.5
91c0ae2011ca4702,halocarbyl,carbon atom,C07,0.25
2c9be55101d122c0,halocarbyl,chlorine substituted carbon radical,C07,0.5
10cbe7e899a94387,halocarbyl,chloro,C07,0.25
52757ecf65e18b34,halocarbyl,electrophilic halogenation,C07,0.5
2334d87d25f96c42,halocarbyl,fluoro,C07,0.25
f6ad05379895f2b2,halocarbyl,functional group,C07,0.25
6ba834aa8ae66f83,halocarbyl,graphite,C07,0.0
66c7d6f5b3e3f48e,halocarbyl,halo,C07,0.25
92d54c34013a1554,halocarbyl,halogen,C07,0.25
6546846df17f9800,halocarbyl,halogen addition reaction,C07,0.5
423edd1352b602af,halocarbyl,halogenated,C07,0.25
efcac02f5b11f481,halocarbyl,haloketone,C07,0.5
79dc7fc082a42739,halocarbyl,heteroatom,C07,0.25
4f709dacc6ffa1bb,halocarbyl,heterocyclic,C07,0.25
462676bd203f9e54,halocarbyl,iodo,C07,0.25
33d2a3cc0f305e91,halocarbyl,mathematical substitution method,C07,0.0
5e8e4f4487a419ef,halocarbyl,silicon,C07,0.0
baa8db264201b187,halocarbyl,substituted,C07,0.25
9af7c8d4cbfbb0b5,halocarbyl,substituted halocarbyl,C07,0.5
c0d984667d36313f,halocarbyl,substituted material,C07,0.0
9874620edcfee1f6,halocarbyl,substituted person,C07,0.0
965d11a574b7a7ff,halocarbyl,substitution mutation type,C07,0.0
f84f0480e9820b16,halocarbyl,unsubstituted,C07,0.25
4a7a88f20faa7acc,halocarbyl,alkyl halide,C08,0.5
d62d8e4f11a09401,halocarbyl,bromo compound,C08,0.25
5dcb358ce604fc46,halocarbyl,bulky halocarbyl,C08,0.5
21f57302912460c4,halocarbyl,chloro carbyl,C08,0.5
2713fe66765e9dbe,halocarbyl,chloro compound,C08,0.25
a1fbaeb87549accc,halocarbyl,chloroethyl,C08,0.5
e3b7f8e5f5f68ce4,halocarbyl,halo,C08,0.25
05d3f896bd4e464f,halocarbyl,halo aryl,C08,0.5
3a9eaeab4b78f258,halocarbyl,haloalkyl,C08,0.75
158aaec84fd9027a,halocarbyl,haloalkyl derivative,C08,0.5
dc65754bfab5b13a,halocarbyl,halogen,C08,0.25
b396989f2abda81b,halocarbyl,halogenated,C08,0.25
4eb9a11ef33dcfe5,halocarbyl,halogenated halo,C08,0.25
ec28d954435b7f4f,halocarbyl,halomethyl,C08,0.5
d5ea782f7f34f604,halocarbyl,hydrocarbon chain,C08,0.25
0fc520424f3c8cd5,halocarbyl,internet,C08,0.0
b144d28bc62b3d1a,halocarbyl,iodo compound,C08,0.25
c18b1aedcdbf027b,halocarbyl,light,C08,0.0
